leftArm	 a 	 d 	 alpha 	 offset
torsoTaxel24_8 -0.00047112 -0.00323566 0.00563447 0.00000000 0.00000000 0.00000000
torsoTaxel24_9 -0.00058373 0.00010707 0.01131908 0.00000000 0.00000000 0.00000000
torsoTaxel24_11 0.00001350 0.00327055 0.00569325 0.00000000 0.00000000 0.00000000
torsoTaxel25_0 0.00039174 0.00326079 0.00559939 0.00000000 0.00000000 0.00000000
torsoTaxel25_1 0.00140832 0.00969540 0.00558275 0.00000000 0.00000000 0.00000000
torsoTaxel25_2 0.00131314 0.00634867 -0.00004152 0.00000000 0.00000000 0.00000000
torsoTaxel25_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel25_4 0.00105363 0.00303566 -0.00557006 0.00000000 0.00000000 0.00000000
torsoTaxel25_5 0.00062062 -0.00014622 -0.01124004 0.00000000 0.00000000 0.00000000
torsoTaxel25_7 -0.00039347 -0.00325487 -0.00563045 0.00000000 0.00000000 0.00000000
torsoTaxel25_8 -0.00165174 -0.00634135 -0.00006160 0.00000000 0.00000000 0.00000000
torsoTaxel25_9 -0.00318377 -0.00940332 0.00563836 0.00000000 0.00000000 0.00000000
torsoTaxel25_11 -0.00102920 -0.00312462 0.00559605 0.00000000 0.00000000 0.00000000
torsoTaxel26_0 -0.00190745 -0.00281032 0.00560270 0.00000000 0.00000000 0.00000000
torsoTaxel26_1 -0.00063815 0.00004792 0.01128584 0.00000000 0.00000000 0.00000000
torsoTaxel26_2 0.00126411 0.00282930 0.00563079 0.00000000 0.00000000 0.00000000
torsoTaxel26_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel26_4 0.00285780 0.00575812 0.00009999 0.00000000 0.00000000 0.00000000
torsoTaxel26_5 0.00425627 0.00882188 -0.00559991 0.00000000 0.00000000 0.00000000
torsoTaxel26_7 0.00172373 0.00283683 -0.00556409 0.00000000 0.00000000 0.00000000
torsoTaxel26_8 -0.00146598 -0.00289751 -0.00571551 0.00000000 0.00000000 0.00000000
torsoTaxel26_9 -0.00541309 -0.00810650 -0.00581678 0.00000000 0.00000000 0.00000000
torsoTaxel26_11 -0.00354289 -0.00558125 -0.00011814 0.00000000 0.00000000 0.00000000
torsoTaxel27_0 -0.00361699 -0.00570496 -0.00018106 0.00000000 0.00000000 0.00000000
torsoTaxel27_1 -0.00593838 -0.00811330 0.00550043 0.00000000 0.00000000 0.00000000
torsoTaxel27_2 -0.00191933 -0.00298802 0.00545759 0.00000000 0.00000000 0.00000000
torsoTaxel27_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel27_4 0.00132274 0.00259297 0.00554591 0.00000000 0.00000000 0.00000000
torsoTaxel27_5 0.00379517 0.00873245 0.00570440 0.00000000 0.00000000 0.00000000
torsoTaxel27_7 0.00281104 0.00559092 -0.00011159 0.00000000 0.00000000 0.00000000
torsoTaxel27_8 0.00137543 0.00261550 -0.00573985 0.00000000 0.00000000 0.00000000
torsoTaxel27_9 -0.00040057 0.00001865 -0.01149001 0.00000000 0.00000000 0.00000000
torsoTaxel27_11 -0.00179833 -0.00299745 -0.00575791 0.00000000 0.00000000 0.00000000
torsoTaxel28_0 0.00139284 0.00632808 0.00008899 0.00000000 0.00000000 0.00000000
torsoTaxel28_1 0.00171303 0.00957025 -0.00556024 0.00000000 0.00000000 0.00000000
torsoTaxel28_2 0.00048703 0.00314732 -0.00557302 0.00000000 0.00000000 0.00000000
torsoTaxel28_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel28_4 -0.00115270 -0.00309428 -0.00563804 0.00000000 0.00000000 0.00000000
torsoTaxel28_5 -0.00324573 -0.00924752 -0.00554765 0.00000000 0.00000000 0.00000000
torsoTaxel28_7 -0.00177647 -0.00628381 0.00009825 0.00000000 0.00000000 0.00000000
torsoTaxel28_8 -0.00070667 -0.00322412 0.00572633 0.00000000 0.00000000 0.00000000
torsoTaxel28_9 -0.00005247 -0.00005154 0.01141200 0.00000000 0.00000000 0.00000000
torsoTaxel28_11 0.00086226 0.00316018 0.00564748 0.00000000 0.00000000 0.00000000
torsoTaxel29_0 0.00037537 0.00319147 -0.00561051 0.00000000 0.00000000 0.00000000
torsoTaxel29_1 -0.00005101 -0.00001155 -0.01123108 0.00000000 0.00000000 0.00000000
torsoTaxel29_2 -0.00015187 -0.00325863 -0.00549102 0.00000000 0.00000000 0.00000000
torsoTaxel29_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel29_4 -0.00063948 -0.00652121 -0.00001809 0.00000000 0.00000000 0.00000000
torsoTaxel29_5 -0.00136619 -0.00968415 0.00571310 0.00000000 0.00000000 0.00000000
torsoTaxel29_7 -0.00044608 -0.00320622 0.00570205 0.00000000 0.00000000 0.00000000
torsoTaxel29_8 0.00003764 0.00330081 0.00565382 0.00000000 0.00000000 0.00000000
torsoTaxel29_9 0.00022878 0.00983890 0.00565040 0.00000000 0.00000000 0.00000000
torsoTaxel29_11 0.00037743 0.00647874 -0.00001013 0.00000000 0.00000000 0.00000000
torsoTaxel30_0 -0.00197798 -0.00223063 0.00576204 0.00000000 0.00000000 0.00000000
torsoTaxel30_1 0.00066884 -0.00001572 0.01111636 0.00000000 0.00000000 0.00000000
torsoTaxel30_2 0.00289942 0.00195922 0.00531456 0.00000000 0.00000000 0.00000000
torsoTaxel30_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel30_4 0.00480548 0.00434486 -0.00033213 0.00000000 0.00000000 0.00000000
torsoTaxel30_5 0.00641057 0.00684829 -0.00620602 0.00000000 0.00000000 0.00000000
torsoTaxel30_7 0.00186592 0.00238809 -0.00577163 0.00000000 0.00000000 0.00000000
torsoTaxel30_8 -0.00287687 -0.00184085 -0.00539748 0.00000000 0.00000000 0.00000000
torsoTaxel30_9 -0.00891865 -0.00489410 -0.00519722 0.00000000 0.00000000 0.00000000
torsoTaxel30_11 -0.00532558 -0.00380781 0.00022271 0.00000000 0.00000000 0.00000000
torsoTaxel31_0 -0.00549804 -0.00333053 0.00049620 0.00000000 0.00000000 0.00000000
torsoTaxel31_1 -0.00763979 -0.00538508 0.00622716 0.00000000 0.00000000 0.00000000
torsoTaxel31_2 -0.00199980 -0.00240494 0.00573512 0.00000000 0.00000000 0.00000000
torsoTaxel31_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel31_4 0.00340769 0.00127338 0.00533596 0.00000000 0.00000000 0.00000000
